month,revenue,payroll,insurance,net_cash_flow
1,13646465.0,5606430.75,1681929.22,6358105.03
2,14364700.0,5901506.05,1770451.82,6692742.13
3,15082935.0,6196581.35,1858974.41,7027379.24
4,15082935.0,6196581.35,1858974.41,7027379.24
5,14364700.0,5901506.05,1770451.82,6692742.13
6,10773525.0,4426129.54,1327838.86,5019556.6
7,4309410.0,1770451.82,531135.54,2007822.64
8,2872940.0,1180301.21,354090.36,1338548.43
9,17955875.0,7376882.56,2213064.77,8365927.67
10,15801170.0,6491656.66,1947497.0,7362016.35
11,15082935.0,6196581.35,1858974.41,7027379.24
12,14364700.0,5901506.05,1770451.82,6692742.13
