center,adult_groups,school_groups,teen_groups,total_groups,teachers_count,weekly_payroll,avg_load_pct
Center_1,14,29,8,51,42,281611.5,55.2
Center_10,2,12,9,23,20,124712.3,53.3
Center_11,3,10,6,19,15,107689.4,43.1
Center_2,6,29,9,44,36,248148.0,52.1
Center_3,10,29,10,49,39,271516.5,56.1
Center_4,7,9,2,18,17,98967.7,51.7
Center_5,12,19,4,35,32,185256.8,52.0
Center_6,5,16,9,30,27,175667.0,44.1
Center_7,9,14,9,32,29,172320.1,51.6
Center_8,9,16,3,28,23,162616.2,54.8
Center_9,5,8,3,16,16,89483.8,59.9
Итого,82,191,72,345,101,1917989.5,42.9
